Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
M10-11-Cemetery,,M10=8004.05,Round,52.06,18.67,10,6,6,6,6.0,3,3,2.0,2.7,1,2,1,1.3,11,12,11,11,3.52,0.54,2.96
M10-11-Cemetery,,M10=8004.06,Round,44.14,15.35,7,6,7,6,6.3,3,3.5,3.0,3.2,2,2,1,1.7,10,9,10,10,2.66,0.43,2.2
M10-11-Cemetery,,M10=8004.07,Oval,36.14,10.61,8,2,3,4,3.0,2,3,2.0,2.3,1,2,2,1.7,12,10,10,11,0.49,0.21,0.27
M10-11-Cemetery,,M10=8004.08,Round,42.62,18.73,11,5,5,5.5,5.2,2.5,4,2.5,3.0,2,2,2,2.0,14,12,14,13,2.4,0.48,1.92
M10-11-Cemetery,,M10=8004.09,Round,42.83,12.04,5,5,4,5,4.7,2,3,3.5,2.8,1,3,3,2.3,9,11,10,10,0.65,0.29,0.35
M10-11-Cemetery,,M10=8004.10,Oval,39.04,14.03,8,3,5,4,4.0,2.5,2.5,2.5,2.5,1,1.5,1,1.2,14,12,11,12,1.48,0.37,1.07
M10-11-Cemetery,,M10=8004.11,Oval,42.26,18.74,8,5,4,5,4.7,3,4,4.0,3.7,0,0,2,0.7,10,11,11,11,3.21,0.56,2.65
M10-11-Cemetery,,M10=8004.12,Round,37.9,19.13,9,7,7,7,7.0,3,4,2.0,3.0,2,2,2,2.0,8,10,11,10,3.36,0.42,2.93
M10-11-Cemetery,,M10=8004.13,Square,32.34,14.3,7,4,4,5,4.3,4,3,2.0,3.0,1,1,0.5,0.8,9,9,11,10,1.67,0.38,1.34
M10-11-Cemetery,,M10=8004.14,Oval,36.81,10.38,6,3,5.5,5,4.5,2,2.5,4.0,2.8,1,0.5,0.5,0.7,6,8,6,7,0.83,0.36,0.5
M10-11-Cemetery,,M10=8004.15,Round,29.98,16.27,11,4,5,5,4.7,2.5,3,4.5,3.3,0.5,2,3,1.8,9,7,4,7,0.87,0.28,0.57
M10-11-Cemetery,,M10=8004.16,Round,31.59,12.29,7,5,5,5,5.0,3,4,4.0,3.7,2,2,2,2.0,7,8,8,8,0.66,0.25,0.38
M10-11-Cemetery,,M10=8004.17,Round,36.5,11.62,6,5,4,5,4.7,3,4,4.0,3.7,1,1,2,1.3,8,6,7,7,0.81,0.33,0.46
M10-11-Cemetery,,M10=8004.18,Oval,30.62,8.26,8,3,4.5,5,4.2,3,2.5,2.5,2.7,1.5,1,1,1.2,9,11,10,10,0.35,0.15,0.19
M10-11-Cemetery,,M10=8004.19,Rectangle,27.83,12,9,3,3,3,3.0,3,2.5,2.5,2.7,1,1,1,1.0,10,9,8,9,0.42,0.26,0.19
M10-11-Cemetery,,M10=8004.20,Oval,34.05,9.56,8,3,3,3,3.0,2,2,2.0,2.0,1,1,1,1.0,14,16,13,14,0.42,0.15,0.27
M10-11-Cemetery,,M10=8004.21,Square,24.65,6.48,5,1.5,2.5,2.5,2.2,2,2.5,2.5,2.3,0.5,0.5,0.5,0.5,7,8,8,8,0.1,0.06,0.04
